Indicator name,url
Human Development Index,http://hdr.undp.org/en/indicators/137506
Education Index,http://hdr.undp.org/en/indicators/103706
Income Index (GNI),http://hdr.undp.org/en/indicators/103606
Life Expectancy index,http://hdr.undp.org/en/indicators/103206
Expected Years of Schooling,http://hdr.undp.org/en/indicators/69706
Mean Years of Schooling - UN,http://hdr.undp.org/en/indicators/103006
Life Expectancy at Birth,http://hdr.undp.org/en/indicators/69206
Gross Domestic Product (GDP) Per Capita,http://hdr.undp.org/en/indicators/136706
"Gross Domestic Product (GDP), Total",http://hdr.undp.org/en/indicators/143306
Gross National Income (Gni) Per Capita,http://hdr.undp.org/en/indicators/141706
Inequality-Adjusted HDI,http://hdr.undp.org/en/indicators/138806
Overall Loss in HDI Due to Inequality,http://hdr.undp.org/en/indicators/73506
Inequality-Adjusted Education Index,http://hdr.undp.org/en/indicators/71406
Inequality-Adjusted Income Index,http://hdr.undp.org/en/indicators/71606
Inequality-Adjusted Life Expectancy Index,http://hdr.undp.org/en/indicators/71506
"Income Inequality, Gini Coefficient",http://hdr.undp.org/en/indicators/67106
Inequality in Education,http://hdr.undp.org/en/indicators/101606
Inequality in Income,http://hdr.undp.org/en/indicators/101706
Inequality in Life Expectancy,http://hdr.undp.org/en/indicators/101806