,Country,2010-2017
1,Albania,29.0
2,Algeria,27.6
3,Angola,42.7
4,Argentina,40.6
5,Armenia,33.6
6,Australia,35.8
7,Austria,30.5
8,Bangladesh,32.4
9,Belarus,25.4
10,Belgium,27.7
11,Benin,47.8
12,Bhutan,37.4
13,Bolivia (Plurinational State of),44.0
14,Bosnia and Herzegovina,33.0
15,Botswana,53.3
16,Brazil,53.3
17,Bulgaria,37.4
18,Burkina Faso,35.3
19,Burundi,38.6
20,Cameroon,46.6
21,Canada,34.0
22,Central African Republic,56.2
23,Chad,43.3
24,Chile,46.6
25,China,38.6
26,Colombia,49.7
27,Comoros,45.3
28,Congo,48.9
29,Congo (Democratic Republic of the),42.1
30,Costa Rica,48.3
31,Croatia,31.1
32,Cyprus,34.0
33,Czechia,25.9
34,C̫te d'Ivoire,41.5
35,Denmark,28.2
36,Djibouti,41.6
37,Dominican Republic,45.7
38,Ecuador,44.7
39,Egypt,31.8
40,El Salvador,38.0
41,Estonia,32.7
42,Eswatini (Kingdom of),51.5
43,Ethiopia,39.1
44,Fiji,36.7
45,Finland,27.1
46,France,32.7
47,Gabon,38.0
48,Gambia,35.9
49,Georgia,37.9
50,Germany,31.7
51,Ghana,43.5
52,Greece,36.0
53,Guatemala,48.3
54,Guinea,33.7
55,Guinea-Bissau,50.7
56,Haiti,41.1
57,Honduras,50.5
58,Hungary,30.4
59,Iceland,27.8
60,India,35.7
61,Indonesia,38.1
62,Iran (Islamic Republic of),40.0
63,Iraq,29.5
64,Ireland,31.8
65,Israel,38.9
66,Italy,35.4
67,Japan,32.1
68,Jordan,33.7
69,Kazakhstan,27.5
70,Kenya,40.8
71,Korea (Republic of),31.6
72,Kyrgyzstan,27.3
73,Lao People's Democratic Republic,36.4
74,Latvia,34.2
75,Lebanon,31.8
76,Lesotho,54.2
77,Liberia,35.3
78,Lithuania,37.4
79,Luxembourg,33.8
80,Madagascar,42.6
81,Malawi,44.7
82,Malaysia,41.0
83,Maldives,38.4
84,Mali,33.0
85,Malta,29.4
86,Mauritania,32.6
87,Mauritius,35.8
88,Mexico,43.4
89,Micronesia (Federated States of),40.1
90,Moldova (Republic of),25.9
91,Mongolia,32.3
92,Montenegro,31.9
93,Morocco,39.5
94,Mozambique,54.0
95,Myanmar,38.1
96,Namibia,59.1
97,Nepal,32.8
98,Netherlands,28.2
99,Nicaragua,46.2
100,Niger,34.3
101,Nigeria,43.0
102,North Macedonia,35.6
103,Norway,27.5
104,Pakistan,33.5
105,"Palestine, State of",33.7
106,Panama,49.9
107,Papua New Guinea,41.9
108,Paraguay,48.8
109,Peru,43.3
110,Philippines,40.1
111,Poland,30.8
112,Portugal,35.5
113,Romania,35.9
114,Russian Federation,37.7
115,Rwanda,43.7
116,Saint Lucia,51.2
117,Samoa,38.7
118,Sao Tome and Principe,30.8
119,Senegal,40.3
120,Serbia,28.5
121,Seychelles,46.8
122,Sierra Leone,34.0
123,Slovakia,26.5
124,Slovenia,25.4
125,Solomon Islands,37.1
126,South Africa,63.0
127,South Sudan,46.3
128,Spain,36.2
129,Sri Lanka,39.8
130,Sudan,35.4
131,Sweden,29.2
132,Switzerland,32.3
133,Tajikistan,34.0
134,Tanzania (United Republic of),37.8
135,Thailand,36.5
136,Timor-Leste,28.7
137,Togo,43.1
138,Tonga,37.6
139,Tunisia,32.8
140,Turkey,41.9
141,Tuvalu,39.1
142,Uganda,42.8
143,Ukraine,25.0
144,United Kingdom,33.2
145,United States,41.5
146,Uruguay,39.5
147,Vanuatu,37.6
148,Viet Nam,35.3
149,Yemen,36.7
150,Zambia,57.1
151,Zimbabwe,43.2
152,Afghanistan,..
153,Andorra,..
154,United Arab Emirates,..
155,Antigua and Barbuda,..
156,Azerbaijan,..
157,Bahrain,..
158,Bahamas,..
159,Belize,..
160,Barbados,..
161,Brunei Darussalam,..
162,Cabo Verde,..
163,Cuba,..
164,Dominica,..
165,Eritrea,..
166,Equatorial Guinea,..
167,Grenada,..
168,Guyana,..
169,"Hong Kong, China (SAR)",..
170,Jamaica,..
171,Cambodia,..
172,Kiribati,..
173,Saint Kitts and Nevis,..
174,Kuwait,..
175,Libya,..
176,Liechtenstein,..
177,Marshall Islands,..
178,New Zealand,..
179,Oman,..
180,Palau,..
181,Qatar,..
182,Saudi Arabia,..
183,Singapore,..
184,Suriname,..
185,Syrian Arab Republic,..
186,Turkmenistan,..
187,Trinidad and Tobago,..
188,Uzbekistan,..
189,Saint Vincent and the Grenadines,..
190,Venezuela (Bolivarian Republic of),..
